C_perc,H_perc,N_perc,O_perc,S_perc
26.37,13.47,52.64,7.3,0.22
26.65,13.33,52.58,7.16,0.27
27.0,13.11,52.81,6.91,0.17
26.42,13.41,52.88,7.07,0.22
25.75,13.6,53.49,7.13,0.03
25.86,13.85,53.12,7.06,0.1
26.54,13.48,52.36,7.48,0.14
27.07,13.08,52.48,7.03,0.33
26.33,13.62,52.95,6.9,0.21
26.05,12.85,53.72,7.33,0.06
26.07,13.56,53.18,7.01,0.18
26.51,13.29,52.99,7.03,0.18
26.84,13.21,52.73,7.06,0.17
26.24,12.79,53.58,7.26,0.13
26.61,14.01,52.82,6.45,0.1
25.93,13.01,54.21,6.62,0.23
26.39,13.23,52.66,7.47,0.24
26.32,12.59,54.46,6.64,0.0
27.13,12.85,52.8,7.19,0.03
27.03,12.83,52.7,7.32,0.11
25.8,13.36,53.66,7.09,0.09
26.82,13.12,52.64,7.08,0.33
27.36,13.19,51.96,7.32,0.16
26.01,13.53,53.03,7.28,0.14
25.92,13.54,53.4,6.88,0.26
26.55,13.26,52.85,7.08,0.26
27.02,13.51,52.66,6.7,0.12
25.52,13.71,53.59,7.04,0.14
26.91,12.92,52.81,7.04,0.32
25.86,13.52,53.39,6.96,0.26
25.97,12.75,54.0,7.22,0.06
26.39,13.47,52.83,7.15,0.17
26.28,13.66,52.73,7.08,0.25
25.82,12.64,53.68,7.65,0.22
27.26,13.08,52.76,6.76,0.15
26.33,13.18,52.98,7.19,0.32
25.98,13.72,52.87,7.25,0.19
26.41,13.11,53.15,7.16,0.17
26.09,13.63,52.76,7.36,0.16
26.02,13.73,53.15,6.96,0.13
26.29,13.23,52.98,7.34,0.16
26.24,13.3,53.23,7.05,0.17
27.65,12.83,52.35,6.83,0.32
26.64,13.35,52.44,7.31,0.26
26.09,13.3,53.35,7.15,0.12
26.2,13.42,52.8,7.35,0.22
26.47,13.37,52.64,7.33,0.18
26.0,13.5,53.23,7.2,0.07
25.8,13.35,53.36,7.2,0.29
26.5,13.0,53.03,7.36,0.11
26.7,13.06,52.9,7.1,0.24
26.24,13.46,53.5,6.6,0.2
25.58,12.08,53.84,8.41,0.09
27.03,12.94,52.86,7.06,0.11
26.58,14.19,51.81,7.23,0.19
26.51,13.21,52.66,7.35,0.27
26.72,13.43,52.55,7.1,0.19
26.63,13.37,52.58,7.19,0.23
26.56,13.49,52.67,7.14,0.13
26.09,13.39,53.76,6.6,0.16
26.23,13.41,53.29,7.02,0.05
26.2,13.3,53.09,7.1,0.31
26.18,13.55,53.15,6.95,0.17
25.98,12.85,54.36,6.6,0.21
26.32,13.39,52.7,7.39,0.21
26.0,13.46,53.02,7.2,0.32
26.7,14.55,51.7,6.76,0.28
27.58,12.64,52.57,6.98,0.23
26.19,13.54,53.4,6.75,0.12
26.5,13.27,52.9,7.18,0.15
26.85,13.4,52.13,7.37,0.25
25.79,13.38,53.33,7.39,0.12
26.16,13.44,52.63,7.52,0.24
26.86,13.39,52.13,7.39,0.22
26.74,12.7,53.14,7.17,0.24
25.6,13.0,53.43,7.81,0.16
26.45,13.53,52.67,7.19,0.16
26.13,13.34,52.93,7.3,0.3
26.09,13.48,53.06,7.21,0.16
27.07,12.55,53.39,6.73,0.25
26.09,12.93,53.98,6.73,0.27
26.05,13.23,53.48,6.97,0.27
26.16,13.64,53.28,6.73,0.18
26.73,13.18,52.56,7.33,0.19
25.93,13.17,53.12,7.63,0.15
26.9,13.3,52.64,7.05,0.11
27.7,13.08,52.06,7.05,0.1
26.58,12.98,53.26,6.9,0.28
26.06,13.64,52.52,7.51,0.26
26.02,13.98,53.11,6.73,0.17
26.01,13.18,53.55,7.08,0.18
26.27,14.76,52.08,6.66,0.23
26.01,13.65,53.32,6.89,0.12
26.32,13.31,52.34,7.51,0.52
26.05,13.4,53.13,7.24,0.18
25.82,13.45,52.85,7.61,0.27
25.88,14.22,52.51,7.17,0.23
26.07,13.39,53.2,7.07,0.28
26.18,13.47,52.96,7.12,0.28
26.56,12.88,53.22,7.24,0.1
27.04,13.19,52.14,7.27,0.36
26.79,12.88,53.26,6.93,0.13
26.11,12.88,53.49,7.29,0.23
26.03,12.52,53.64,7.61,0.2
26.54,13.05,53.19,7.01,0.22
25.62,14.97,52.15,7.26,0.0
26.0,14.62,52.33,6.75,0.3
26.91,13.21,52.48,7.06,0.34
26.72,13.36,52.51,7.22,0.19
25.55,12.38,53.79,7.94,0.34
26.06,13.43,53.27,7.05,0.19
26.82,12.95,53.36,6.78,0.08
26.95,13.06,52.84,6.93,0.22
27.08,13.14,52.56,6.93,0.3
26.55,13.59,52.94,6.72,0.2
25.9,14.37,52.45,6.78,0.5
